palabra,mean_rt,mean_error,concreteness,familiarity,aoa,palabra_noaccents
aparentar,635.3344594648648,0.0,,,7.789,aparentar
aparición,614.0157894763158,0.0,,,,aparicion
apariencia,679.6000000162162,2.631578947368421,,,,apariencia
aparta,763.6203225774193,11.428571428571429,4.667,5.318,4.962,aparta
apartado,653.1060606212121,0.0,,,6.4,apartado
apartamento,668.6834722194444,0.0,,,,apartamento
apartar,647.1636363636363,2.941176470588235,,,5.714,apartar
aparte,628.3685714228571,0.0,3.483,6.19,,aparte
apasionado,626.6558823558823,0.0,,,,apasionado
apelación,865.6411666666667,14.28571428571428,,,,apelacion
apelativo,775.159375,5.882352941176471,,,10.524,apelativo
apellido,629.7171428571429,0.0,,,,apellido
apenas,653.0756756756757,2.631578947368421,3.0,6.148,,apenas
apéndice,620.1551351108108,5.128205128205128,,,,apendice
apendicitis,701.5428571142857,12.5,,,,apendicitis
aperitivo,632.6861111083333,5.263157894736842,,,,aperitivo
apertura,613.0350000090909,0.0,,,,apertura
