palabra,Action_Mean,Action_SD,BodyExp_Mean,BodyExp_SD,Evaluation _Mean,Evaluation _SD,Feeling_Mean,Feeling_SD,Interoception_Mean,Interoception_SD,Morality_Mean,Morality_SD,SenExp_Mean,SenExp_SD,SocInt_Mean,SocInt_SD,Thought_Mean,Thought_SD,palabra_noaccents
avergonzarse,4.409090909090909,1.943465018222936,5.2727272727272725,1.6954229190555596,3.142857142857143,2.080521912542963,6.181818181818182,1.4019158196439487,5.521739130434782,1.3439955768796032,4.238095238095238,2.2562083659263807,4.5,1.8451996923807203,4.5,1.7917941611104424,4.904761904761905,1.8682816143387457,avergonzarse
aversión,4.133333333333334,1.8464895909600494,3.5625,2.220172665957913,3.25,1.5447859516333116,4.866666666666666,1.8847761013926703,5.294117647058823,1.3585242858683522,3.0588235294117645,1.6382379343098379,,,3.3529411764705883,1.6560939160637989,4.1,2.1980852911951394,aversion
aversivo,5.076923076923077,1.2557559782549617,3.4,2.2614786566062732,3.1666666666666665,2.32900030576263,4.666666666666667,1.951800145897066,3.8333333333333335,1.9478494929174643,2.6153846153846154,1.5566235649883127,,,3.4545454545454546,1.9164360862620156,4.75,1.5447859516333116,aversivo
azorado,3.857142857142857,1.5735915849388864,1.875,0.8345229603962802,2.3333333333333335,1.3662601021279466,5.0,1.0954451150103321,3.7142857142857144,2.3603873774083297,3.375,2.065879266282796,3.625,1.407885953173359,4.0,1.4142135623730951,3.5454545454545454,2.381748784554591,azorado
azoramiento,3.727272727272727,2.1489955370316194,2.4285714285714284,1.511857892036909,4.333333333333333,2.0816659994661326,3.2,1.6431676725154982,4.625,1.8468119248354136,3.5,2.3804761428476167,2.5,1.4142135623730951,3.8,1.9235384061671343,4.222222222222222,1.4813657362192643,azoramiento
azorarse,3.875,1.807721533549109,3.4,1.837873166945363,2.625,1.8468119248354136,4.777777777777778,1.6414763002993502,4.857142857142857,1.864454471471609,2.857142857142857,2.115700942049815,4.6,2.1705094128132942,4.0,2,4.4,2.011080417199781,azorarse
bajón,4.52,2.4000000000000004,4.521739130434782,2.1292244686609876,3.45,2.0894471693929497,5.6,1.6670175069329807,5.782608695652174,1.6224706675911513,3.1904761904761907,1.9395630337539334,4.5,1.6832508230603465,3.15,1.899445902583726,5.304347826086956,1.3959285801180918,bajon
benevolencia,4.333333333333333,1.7822655773580136,4.136363636363637,1.457181053739247,6.055555555555555,0.8726040960806526,5.411764705882353,1.7698454568623982,4.0,1.4800257398019099,5.7,1.525226471535846,3.0952380952380953,1.5461164867099082,4.7894736842105265,1.7184924714030623,5.0,1.3719886811400708,benevolencia
benevolente,4.052631578947368,1.7786912857655994,3.611111111111111,1.8194662723831594,4.4375,1.8962682651284688,4.411764705882353,1.7698454568623982,3.727272727272727,1.8563101696342252,5.7,1.1285761872936706,3.15,1.6944180805158295,4.833333333333333,1.5434872662825796,5.0,1.5894388284780525,benevolente
benévolo,4.888888888888889,1.2782749814122838,3.238095238095238,1.8948551898433268,5.421052631578948,1.4649910683718717,5.0476190476190474,1.8567765206451337,4.0,1.6543403837370223,5.15,1.6630662866176467,4.0,1.855921454276674,4.0588235294117645,1.8864844365675972,5.0,1.4529663145135578,benevolo
bienestar,5.181818181818182,1.8162327215148664,5.863636363636363,1.355604048998947,6.809523809523809,0.5117663157191563,6.181818181818182,1.5003607069909055,5.75,1.1515584902738285,5.619047619047619,1.5321941938341392,,,5.75,1.6503588126605426,5.714285714285714,1.6168752933623907,bienestar
bienhumorado,5.44,1.5832456116050553,4.869565217391305,1.8660689801653036,5.95,1.050062654772262,6.052631578947368,1.7150861400630162,5.2727272727272725,1.5486343655842068,4.857142857142857,1.6518388022356867,3.9545454545454546,1.8892496048071754,4.9,1.6511558949637932,4.695652173913044,1.8199596051634988,bienhumorado
bochorno,4.136363636363637,1.5521246435421698,4.2727272727272725,2.119789256861751,3.1904761904761907,1.8873009198071096,4.333333333333333,2.614064523559687,5.083333333333333,1.6129008882638514,2.7142857142857144,1.7647338933351153,,,3.388888888888889,2.1730674684008826,4.0476190476190474,1.9615348703551125,bochorno
bondad,4.95,1.0990426455975695,4.173913043478261,2.0147676137831394,6.238095238095238,0.9952267030562396,5.590909090909091,1.7636296692870679,4.380952380952381,1.8021151593666394,6,1.0690449676496976,,,4.809523809523809,1.8060744065250363,5.190476190476191,1.8060744065250356,bondad
bondadoso,4.434782608695652,1.9960435173913817,3.652173913043478,1.8490463304135485,6.045454545454546,0.8985317508910352,5.545454545454546,1.5345938729769375,4.05,1.8771478925557026,5.833333333333333,1.5227739752537626,,,5.05,1.6375527311718607,4.3,1.922169826551562,bondadoso
buena,3.2,1.5078740698501036,3.6956521739130435,1.964104760414124,6.190476190476191,1.3645163106041494,4.545454545454546,2.1979919997963666,3.619047619047619,1.9358768162305804,5.136363636363637,1.7807289717965709,,,4.904761904761905,2.2782616597915593,5.333333333333333,1.4605934866804424,buena
bueno,4.238095238095238,1.8682816143387457,4.590909090909091,2.0391195791342542,5.714285714285714,1.4540583599999406,5.238095238095238,1.9469145308606108,4.086956521739131,2.10870583918325,5.761904761904762,1.135991280985991,,,5.428571428571429,1.5352989471574763,4.826086956521739,2.0147676137831403,bueno
burlado,3.8421052631578947,1.6754156331667822,3.909090909090909,1.8493007921680615,2.619047619047619,1.774153050787628,4.9523809523809526,1.774153050787628,3.619047619047619,2.0365704131257156,3.090909090909091,1.9978343252987698,4.363636363636363,1.9891480479617285,3.380952380952381,1.9615348703551125,3.5555555555555554,1.976991839139996,burlado
cabizbajo,3.909090909090909,2.1136538192269017,4.9,2.1001253095445223,3.3,2.0799797569865155,5.2105263157894735,1.8128843613430885,4.130434782608695,1.9610838335908902,3.0526315789473686,1.5446568914424659,3.590909090909091,1.816828500675229,2.9,1.8609561775433732,4.391304347826087,1.8275450606254828,cabizbajo
cabreado,5.16,2.1150256105620406,4.565217391304348,2.3898666177410166,3.75,2.173403830521681,6.25,1.7129537431920892,6.130434782608695,1.2174618838941842,3.761904761904762,2.0953463175513947,5.130434782608695,2.0737394380483276,4.6,2.036508880671192,5.3478260869565215,1.3687650589349756,cabreado
cabrearse,5.454545454545454,1.184313050927585,5.318181818181818,2.0327406701383803,3.5238095238095237,1.9904534061124772,5.954545454545454,1.3619759010270178,5.833333333333333,1.0072203103706705,4.380952380952381,2.0118695404073916,,,4.8,1.6415653633362464,5.095238095238095,1.546116486709909,cabrearse
cabreo,5.12,2.006655592438988,5.130434782608695,2.0737394380483276,3.95,2.258900524358558,6.0,1.9194297398747862,6.0,1.3142574813455419,3.8095238095238093,1.9395630337539334,4.409090909090909,1.6521008532886934,4.6,1.569445091341791,5.739130434782608,0.9153931745603194,cabreo
cachondear,4.476190476190476,1.6618979396776332,3.6818181818181817,2.0790648913660252,4.666666666666667,1.9832633040858025,3.7142857142857144,1.901127485016645,4.0,2,4.523809523809524,1.8060744065250363,4.15,1.4608937423083823,4.904761904761905,1.786190412715338,3.347826086956522,2.2685336804395337,cachondear
cachondeo,4.7272727272727275,1.3516063875403324,5.363636363636363,1.733300032980155,5.523809523809524,1.3273676061682231,3.1818181818181817,2.2601382940486427,3.9166666666666665,1.8157922373651016,4.142857142857143,2.197401062294143,4.2272727272727275,1.8239626714491246,5.85,1.0399898784932566,3.6666666666666665,2.008316044185609,cachondeo
cachondez,4.125,2.07075915505905,4.6521739130434785,2.186917624340746,4.666666666666667,1.4552137502179978,4.157894736842105,2.1670040223194187,4.181818181818182,2.3428993766650517,3.9523809523809526,2.0609752661347125,3.909090909090909,1.973855084879307,5.2105263157894735,1.5839103288458471,4.086956521739131,1.64905051133457,cachondez
cachondo,3.782608695652174,2.2351839814274888,5.521739130434782,1.562910025252757,4.7272727272727275,1.608957609368435,4.545454545454546,2.219551064158454,5.95,0.9445132413883339,3.5416666666666665,2.283764372728703,5.15,2.033275811668399,5.4,1.3138933706635716,4.6,1.984147702481637,cachondo
calma,4.75,1.6503588126605426,4.826086956521739,1.969129339513082,5.714285714285714,1.1019463300386805,5.318181818181818,1.6150000335062247,4.857142857142857,1.9566735620873064,4.318181818181818,1.8096662053792612,,,3.4761904761904763,2.3370718349902644,4.333333333333333,2.081665999466133,calma
calmado,4.714285714285714,2.052872551885702,4.818181818181818,1.6223546566748686,5.666666666666667,1.0645812948447533,5.523809523809524,1.4006801069140515,5.956521739130435,1.1862186242450952,4.9523809523809526,1.8021151593666394,,,3.9523809523809526,1.8567765206451337,4.695652173913044,1.8199596051634988,calmado
calmarse,4.476190476190476,1.8335497707738293,4.909090909090909,1.6592910393438385,5.380952380952381,1.430950400125402,5.380952380952381,1.5644868320376009,5.913043478260869,1.0406747583030782,4.571428571428571,1.7768350675126992,3.4782608695652173,1.9275411849718922,3.9047619047619047,1.8682816143387457,4.6521739130434785,1.7737657847891128,calmarse
