palabra,ico-m,ico-sd,palabra_noaccents
algebraica,3.28,2.031,algebraica
álgido,3.545,1.765,algido
algo,2.1,1.804,algo
algodón,2.542,1.865,algodon
algoritmo,2.2,1.765,algoritmo
alguacil,2.44,1.446,alguacil
alguna,2.368,1.707,alguna
alguno,1.522,0.898,alguno
alhambra,2.5,2.064,alhambra
aliado,2.45,1.731,aliado
aliar,2.429,1.886,aliar
aliciente,2.609,1.725,aliciente
alienación,4.2,2.215,alienacion
alienígena,4.72,1.926,alienigena
aligerar,2.364,1.364,aligerar
alimaña,3.053,1.747,alimana
alimentación,2.88,2.261,alimentacion
alimentaria,3.2,1.803,alimentaria
alimenticia,2.96,1.567,alimenticia
alimento,2.286,1.617,alimento
alineación,2.957,1.637,alineacion
alineamiento,3.304,2.458,alineamiento
alinear,2.864,1.983,alinear
alioli,2.762,1.868,alioli
alistar,2.565,1.701,alistar
aliviar,2.818,1.79,aliviar
aljibe,2.167,1.523,aljibe
allá,4.913,1.649,alla
allanamiento,2.5,1.956,allanamiento
allanar,2.87,1.66,allanar
allí,3.182,1.991,alli
almacén,1.571,1.165,almacen
almacena,2.65,1.631,almacena
almacenaje,2.682,1.756,almacenaje
almacenamiento,3.091,1.925,almacenamiento
almacenar,2.48,1.636,almacenar
almanaque,1.545,0.82,almanaque
almendra,2.571,1.777,almendra
almendro,2.88,1.856,almendro
almeriense,3.261,2.281,almeriense
almíbar,2.3,1.455,almibar
almidón,1.545,0.739,almidon
almirante,3.087,1.998,almirante
almorzar,1.636,1.136,almorzar
almuerzo,1.864,1.642,almuerzo
aloja,2.409,1.709,aloja
alojado,2.24,1.763,alojado
alojamiento,2.619,2.061,alojamiento
alojar,1.85,1.268,alojar
alondra,2.529,1.505,alondra
alpargata,2.857,1.824,alpargata
alpha,3.45,2.46,alpha
alpinismo,3.28,1.969,alpinismo
alpino,1.789,1.228,alpino
alquilar,2.24,1.715,alquilar
alquiler,2.04,1.513,alquiler
alquimia,3.0,2.326,alquimia
alquimista,1.792,1.474,alquimista
alquitrán,3.76,2.047,alquitran
alrededor,2.565,1.674,alrededor
altar,3.35,2.39,altar
altavoz,3.591,2.218,altavoz
alteración,3.32,2.015,alteracion
alterar,2.96,1.904,alterar
alterna,1.5,0.802,alterna
alternancia,2.227,1.541,alternancia
alternar,2.571,1.434,alternar
alternativa,1.826,1.37,alternativa
alternativo,2.88,1.616,alternativo
alteza,3.429,2.111,alteza
altiplano,2.783,1.565,altiplano
altísimo,5.053,1.957,altisimo
altitud,3.217,1.704,altitud
altivez,2.708,1.829,altivez
altivo,2.684,1.565,altivo
altruismo,2.095,1.375,altruismo
altruista,2.0,1.451,altruista
altura,3.0,2.047,altura
alucinación,2.609,1.644,alucinacion
alud,3.056,2.209,alud
alumbra,3.636,1.677,alumbra
alumbrado,2.273,1.486,alumbrado
alumbrar,2.909,1.998,alumbrar
alumna,2.2,1.528,alumna
alumnado,2.435,1.903,alumnado
alusión,3.81,2.182,alusion
aluvión,3.474,1.837,aluvion
alza,3.9,2.269,alza
alzamiento,3.24,2.087,alzamiento
alzar,3.8,1.848,alzar
alzheimer,2.5,2.0,alzheimer
ama,3.333,1.77,ama
amada,2.905,2.022,amada
amapola,1.286,0.717,amapola
amargo,2.714,1.953,amargo
amarilla,2.19,1.806,amarilla
amarillento,3.28,2.072,amarillento
amasador,3.292,1.517,amasador
amatista,1.25,0.577,amatista
amazónica,3.08,1.977,amazonica
ámbar,2.56,1.981,ambar
ambicioso,3.81,2.015,ambicioso
ambientación,2.826,1.946,ambientacion
ambiental,2.56,1.583,ambiental
ambigua,3.0,1.703,ambigua
ambigüedad,2.143,1.652,ambiguedad
ámbito,1.625,1.377,ambito
ambulante,3.56,1.805,ambulante
amén,3.6,1.984,amen
amena,2.143,1.526,amena
amenazante,2.45,1.504,amenazante
americana,2.619,1.746,americana
americano,2.652,2.014,americano
amigdalitis,1.8,1.152,amigdalitis
aminoácido,1.286,0.784,aminoacido
aminorar,2.778,1.734,aminorar
amnesia,3.24,2.047,amnesia
amnistía,1.944,1.211,amnistia
amo,2.5,1.668,amo
amonestación,3.045,1.864,amonestacion
amonestar,2.667,1.88,amonestar
amonio,2.826,1.992,amonio
amontonar,4.6,2.0,amontonar
amorosa,2.696,1.795,amorosa
amortización,1.75,1.446,amortizacion
ampara,2.72,1.646,ampara
amparo,2.208,1.444,amparo
ampliar,3.636,1.989,ampliar
amplificación,1.81,1.504,amplificacion
amuleto,2.72,1.926,amuleto
amurallado,3.333,2.288,amurallado
ana,2.2,1.673,ana
anacardo,2.238,1.546,anacardo
anaconda,3.095,1.998,anaconda
anagrama,2.333,1.645,anagrama
anal,3.75,2.221,anal
analfabetismo,2.304,1.69,analfabetismo
analítica,1.864,1.424,analitica
analizada,2.28,1.86,analizada
analizado,2.44,1.781,analizado
analizar,2.783,1.833,analizar
análoga,2.45,1.669,analoga
analógico,2.522,1.974,analogico
anaranjado,2.381,1.359,anaranjado
anarquía,3.409,1.919,anarquia
anarquismo,3.28,1.646,anarquismo
anarquista,2.591,1.894,anarquista
anatomía,2.3,1.809,anatomia
ancestral,2.857,1.905,ancestral
ancestro,2.783,1.833,ancestro
anchas,3.28,1.815,anchas
anchoa,2.583,1.886,anchoa
anciana,1.19,0.512,anciana
ancla,3.32,1.887,ancla
anclaje,3.158,1.573,anclaje
andadura,2.636,1.649,andadura
andaluz,3.16,2.055,andaluz
andaluza,2.95,1.849,andaluza
