palabra,mean_awe,mean_relief,mean_excitement,mean_amusement,mean_pleasure,mean_contentment,mean_serenity,sd_awe,sd_relief,sd_excitement,sd_amusement,sd_pleasure,sd_contentment,sd_serenity,palabra_noaccents
recogida,1.9,2.8,2.75,2.2,2.8,2.9,2.40909,1.25237,1.36111,1.37171,1.10501,1.10501,1.58612,1.05375,recogida
recolección,2.1,2.42857,2.3,2.04762,2.75,2.85,2.35,1.16529,1.02817,1.17429,0.92066,1.40955,1.13671,1.26803,recoleccion
recolectar,2.6,2.7,2.75,2.4,2.9,3.25,2.58333,1.14248,1.38031,1.29269,1.50088,1.02084,1.40955,1.38051,recolectar
recomendable,3.0,3.54167,2.90476,3.09524,3.45,3.57143,3.1,1.1698,1.14129,1.41084,1.22085,1.35627,1.12122,1.16529,recomendable
recomendación,3.0,3.47619,3.6,2.68182,2.55,3.1,3.25,1.29777,1.16701,1.0463,1.24924,1.23438,1.11921,1.01955,recomendacion
recomendado,3.0,2.9,3.6,2.55,2.75,3.05,2.72727,1.29777,1.20961,0.88258,1.2763,1.01955,0.99868,1.35161,recomendado
recomendar,2.85,3.0,3.5,2.40909,3.05,3.09524,2.47826,1.26803,1.33771,1.23544,1.05375,1.09904,1.41084,1.30974,recomendar
recompensa,3.6,4.15,4.4,3.6,3.95,4.25,3.45,1.18766,1.03999,0.75394,1.3917,1.2763,1.11803,1.14593,recompensa
recompensar,3.05,4.15,3.7,3.4,3.25,3.65,2.73913,1.46808,0.98809,1.12858,1.09545,1.20852,1.38697,1.17618,recompensar
reconciliación,3.75,4.35,4.15,2.7619,3.7,4.7,4.3,1.25132,0.87509,1.22582,1.22085,1.41793,0.57124,0.7327,reconciliacion
reconciliar,3.0,4.09524,3.5,2.85,3.7,4.45,3.85,1.48678,1.22085,1.14208,1.13671,1.52523,0.68633,0.98809,reconciliar
reconocer,3.35,3.2,2.61905,1.9,3.0,3.7,3.5,1.59852,1.19649,1.24403,0.91191,1.21395,1.26074,1.23544,reconocer
reconocible,2.3,3.1,2.8,2.2381,2.85,2.9,3.45,1.17429,1.48324,1.19649,1.17918,1.34849,1.20961,1.39454,reconocible
reconocido,3.45,3.45,2.45455,2.36364,3.7,3.7,2.55,1.14593,1.46808,1.1434,1.43246,1.12858,1.38031,1.19097,reconocido
reconocimiento,4.25,3.85,2.95,2.6,3.15,4.13043,2.95,0.91047,1.34849,1.53811,1.27321,1.34849,1.32474,1.35627,reconocimiento
reconsiderar,2.65,2.85,2.63636,1.85,2.13636,3.2,3.2,1.22582,1.26803,1.25529,1.1821,1.12527,0.83351,1.23969,reconsiderar
reconstrucción,2.8,3.09091,2.86364,2.65,2.6,3.4,2.69565,1.28145,1.37699,1.16682,1.42441,1.23117,1.35336,1.18455,reconstruccion
reconstruir,3.05,3.25,3.4,2.3,2.6,3.2,2.9,1.43178,1.25132,1.14248,1.21828,1.46539,1.54238,1.41049,reconstruir
recopilación,2.4,2.75,1.95,2.13636,2.85,2.75,2.45,1.35336,1.16416,0.94451,1.28343,1.22582,1.44641,1.09904,recopilacion
recopilar,1.95,2.9,2.65,2.04545,2.5,2.15,2.2,1.23438,1.25237,1.22582,1.13294,1.23544,1.30888,0.89443,recopilar
recopilatorio,2.25,2.8,2.0,2.15,2.04348,2.65,2.2,1.25132,1.23969,1.1698,1.22582,0.87792,1.63111,1.00525,recopilatorio
récord,3.85,3.6,3.8,3.4,3.7,4.0,2.40909,1.34849,1.31389,1.54238,1.23117,1.26074,1.29777,1.33306,record
recordar,2.75,3.0,3.2,3.05,3.45,3.75,3.375,1.51744,1.21395,1.19649,1.31689,1.35627,1.11803,1.20911,recordar
recorrer,2.45,2.35,3.25,2.38095,2.55556,2.75,2.75,1.14593,1.49649,1.11803,1.32198,1.36814,1.48235,1.25132,recorrer
recorrido,2.3,2.3,2.75,2.36364,2.15,3.25,2.6087,1.26074,1.12858,1.33278,1.46533,1.13671,1.48235,1.3052,recorrido
recortar,1.9,1.7,2.05,1.81818,1.95652,1.7619,2.04167,0.91191,0.97872,0.88704,1.05272,1.14726,0.94365,1.23285,recortar
recorte,1.6,1.5,1.55,1.7,1.6,1.47619,1.69565,1.09545,0.68825,0.82558,1.0311,0.94032,0.67964,0.87567,recorte
recreación,2.90909,3.25,2.2,3.3,3.0,2.85,2.65,1.41115,1.16416,1.00525,1.21828,1.24316,1.1821,1.22582,recreacion
recrear,2.95,2.8,3.0,2.45,2.48,2.9,2.57143,1.23438,1.50787,1.45095,1.35627,1.15902,1.16529,1.39898,recrear
recreo,2.4,3.5,3.55,4.32,4.2,3.95,3.05,1.46539,1.39548,1.46808,1.02956,1.00525,1.19097,1.31689,recreo
recriminar,1.2,1.7,1.45,1.25,1.35,1.6,1.40909,0.41039,1.12858,0.68633,0.71635,0.74516,1.14248,0.73414,recriminar
recrudecer,1.77778,1.625,1.0625,1.72222,1.07692,1.35294,1.22222,1.21537,0.88506,0.25,1.17851,0.27735,0.60634,0.64676,recrudecer
recta,1.68182,2.15,2.2,1.45,2.1,2.45,2.40909,0.99457,1.38697,1.28145,0.75915,1.20961,1.35627,1.36832,recta
rectángulo,2.04762,2.0,1.66667,1.75,1.75,1.68182,2.1,1.11697,1.07606,0.85635,1.11803,1.06992,1.21052,1.16529,rectangulo
rectificación,3.05,3.55,2.89474,1.65,2.85,3.73684,3.05,1.43178,0.94451,1.37011,0.9333,1.22582,1.09758,1.05006,rectificacion
rectificar,3.36,3.1,2.25,1.72727,2.75,3.45,2.61905,1.31909,1.33377,1.20852,0.98473,1.06992,1.14593,1.16087,rectificar
rectitud,2.0,2.26316,2.15,1.78947,1.94737,2.63158,2.38889,1.10554,1.32674,1.26803,1.08418,1.17727,1.34208,1.09216,rectitud
recto,1.95455,2.05,1.7619,1.5,2.2,2.6,2.2,1.32655,0.99868,0.94365,0.88852,1.28145,1.23117,1.05631,recto
rector,2.15,1.7,1.7,1.56522,1.8,2.05,1.94737,0.9333,0.7327,0.8645,0.99206,1.23969,1.09904,1.17727,rector
recuento,1.85,2.35,2.0,2.0,1.8,2.7,2.3,1.1821,0.98809,0.97333,1.04447,1.00525,1.26074,1.12858,recuento
recuerdo,3.6,3.65,3.1,3.34783,3.6,3.85,3.45,1.27321,1.26803,1.16529,1.43364,1.46539,0.98809,1.09904,recuerdo
recuerdos,3.25,3.5,3.82609,3.68421,3.81481,4.05,3.48,1.48235,1.19208,1.33662,1.41628,1.14479,0.94451,1.47535,recuerdos
recuperación,2.95,3.8,2.86364,2.31818,3.35,3.71429,3.8,1.31689,1.32188,1.58251,1.42716,1.42441,1.0556,1.15166,recuperacion
recuperar,2.6,3.57143,3.55,2.19048,3.45,3.5,2.9,1.46539,1.2873,1.46808,1.47034,1.2763,0.94591,1.16529,recuperar
recurrente,2.47368,2.3,1.72727,2.75,1.95,2.25,2.31579,1.07333,1.12858,0.82703,1.58529,0.82558,1.20852,1.15723,recurrente
recurrir,2.35,2.6,1.78947,1.75,1.65,1.85,2.15,1.38697,1.42902,1.18223,1.25132,0.9333,0.98809,1.26803,recurrir
recurso,2.35,3.1,2.8,2.2,3.15,3.05,2.9,1.56525,1.41049,1.50787,1.39925,1.26803,1.31689,1.37267,recurso
red,2.1,2.3913,2.2,1.80952,1.75,2.25,2.05,1.29371,1.46905,1.00525,1.03049,1.16416,1.29269,1.05006,red
redacción,2.3,2.0,2.35,2.1,2.25,2.7619,2.79167,1.34164,1.1239,1.13671,1.16529,1.22474,1.44585,1.38247,redaccion
redactar,2.5,2.2,2.35,1.86364,3.4,2.35,2.45455,1.31789,1.15166,1.26803,0.99021,0.88258,1.30888,1.22386,redactar
redactor,1.85,2.0,2.5,2.0,1.8,2.45,1.7,1.30888,1.28537,1.10024,1.21395,0.89443,1.35627,0.80131,redactor
redención,1.94737,2.1875,1.625,1.6,2.0,2.13333,2.42857,1.31122,1.32759,1.25831,1.0463,1.1239,1.50555,1.50457,redencion
redicho,1.38095,1.47059,1.17647,2.11765,1.66667,2.0,1.47368,0.66904,0.79982,0.52859,1.16632,0.84017,1.1547,0.84119,redicho
redistribución,1.95238,2.25,2.25,1.80952,1.8,2.75,2.4,1.07127,1.06992,1.37171,0.92839,1.05631,1.37171,1.18766,redistribucion
redonda,1.63636,2.47368,1.47826,1.85,2.15,2.3,2.27273,1.0486,1.42861,0.79026,0.9333,1.30888,1.21828,1.3159,redonda
reducción,1.65,1.8,1.45,1.85,1.69565,1.75,2.0,0.9333,0.76777,0.68633,0.87509,0.82212,0.96655,0.91766,reduccion
reducir,1.45,2.73913,2.05,1.77273,2.0,1.7,1.65217,0.94451,1.60163,0.99868,1.10978,1.02598,1.08094,0.77511,reducir
